dtime,account,instrument,product,order_price,order_price_ticks,trigger_price,trigger_price_ticks,fill_size,order_size,working_size,executed_size,undisclosed_size,size_type,message_type,execution_type,tif,exchange_order_id,exchange_transaction_id,client_order_id,tt_order_id,tt_parent_id,exchange_message,order_status,synthetic_order_status,fill_type,strike,direct_electronic_access,exchange_time,fill_indicator,connection_id,order_type,put_call,passive_agressive,open_close_flags,account_sent_to_exch,order_route,manual_fill,trading_capacity,oma_order_id,confirmed,exchange,buy_sell,product_type,broker,investment_decision,execution_decision_id,liquidity_provision,commodity_derivative_indicator,give_up_account,client_id,order_modifier,text_a,text_b,text_tt,time_sent,deal_time,counter_party_id,algo_name,mgt_login_member,mgt_login_group,mgt_login_trader_id,account_type,original_time,shared_account_name,instrument_term,secondary_client,secondary_execution_decision_maker,compliance_text,investment_decision_qualifier,execution_decision_qualifier,maturity_date,contract_expiration_date,instrument_id,clearing_date,order_profile,tt_self_match_prevention_id,tt_self_match_prevention_instruction,unique_execution_id,df_row_id,tt_instrument,tt_product
2024-02-02 13:29:29.440000+00:00,CLX44550,Rois 3 U24_snp,,-12.5,-25,,,0,5,5,,,,EXECUTION_REPORT,RESTATED,DAY,,,,2f80f1ea-9811-46be-a85c-7e5828aa6312,,,ORD_STATUS_NEW,SYNTH_STATUS_WORKING,MULTI_LEG_SECURITY,,,2024-02-02 13:29:29.440000+00:00,NEW,aurora.shared.cme_ase,LIMIT,,,OPEN,,Direct,,,,,SYNTHETIC,BUY,,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:29:29.342000+00:00,,,,,,,,,,4.49006E+18,,,,,,4362,,
2024-02-02 13:30:01.079000+00:00,CLX44550,FFX24,FF,95.835,19167,,,,30,30,,,,EXECUTION_REPORT,NEW,DAY,8.21368E+12,82767:127806101,1.70647E+12,9e8f69b6-1da1-410f-9179-a07b7b6d240d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_NEW,,,,,2024-02-02 13:30:01.071000+00:00,NEW,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,SELL,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.071000+00:00,,24-nov,,,,,,2024-11-29 00:00:00+00:00,ZQ Nov24,9.54107E+18,,,,,9yyZh6ljmkd4BznRYEWYbn,4440,ZQ Nov24,ZQ
2024-02-02 13:30:01.079000+00:00,CLX44550,FFX24,FF,95.845,19169,,,10,30,20,10,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6262679TN0000152,1.70647E+12,9e8f69b6-1da1-410f-9179-a07b7b6d240d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_PARTIALLY_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.071000+00:00,PARTIALLY_FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,SELL,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.071000+00:00,,24-nov,,,,,,2024-11-29 00:00:00+00:00,ZQ Nov24,9.54107E+18,2024-02-02 00:00:00+00:00,,,,FTcVHpso0AuJGzWEP3Fzi4,4441,ZQ Nov24,ZQ
2024-02-02 13:30:01.079000+00:00,CLX44550,FFX24,FF,95.845,19169,,,5,30,15,15,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6262702TN0000153,1.70647E+12,9e8f69b6-1da1-410f-9179-a07b7b6d240d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_PARTIALLY_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.071000+00:00,PARTIALLY_FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,SELL,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.071000+00:00,,24-nov,,,,,,2024-11-29 00:00:00+00:00,ZQ Nov24,9.54107E+18,2024-02-02 00:00:00+00:00,,,,GQEoAJNghC08I8ZdD74wSQ,4442,ZQ Nov24,ZQ
2024-02-02 13:30:01.079000+00:00,CLX44550,FFX24,FF,95.845,19169,,,5,30,10,20,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6262704TN0000154,1.70647E+12,9e8f69b6-1da1-410f-9179-a07b7b6d240d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_PARTIALLY_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.071000+00:00,PARTIALLY_FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,SELL,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.071000+00:00,,24-nov,,,,,,2024-11-29 00:00:00+00:00,ZQ Nov24,9.54107E+18,2024-02-02 00:00:00+00:00,,,,Gav3MZWU318KekvSvebxjj,4443,ZQ Nov24,ZQ
2024-02-02 13:30:01.079000+00:00,CLX44550,FFX24,FF,95.84,19168,,,1,30,9,21,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6262721TN0000155,1.70647E+12,9e8f69b6-1da1-410f-9179-a07b7b6d240d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_PARTIALLY_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.071000+00:00,PARTIALLY_FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,SELL,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.071000+00:00,,24-nov,,,,,,2024-11-29 00:00:00+00:00,ZQ Nov24,9.54107E+18,2024-02-02 00:00:00+00:00,,,,9YQQ4u7kuoiANvS6PedpXS,4444,ZQ Nov24,ZQ
2024-02-02 13:30:01.079000+00:00,CLX44550,FFX24,FF,95.835,19167,,,9,30,,30,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6262726TN0000156,1.70647E+12,9e8f69b6-1da1-410f-9179-a07b7b6d240d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.071000+00:00,FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,SELL,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.071000+00:00,,24-nov,,,,,,2024-11-29 00:00:00+00:00,ZQ Nov24,9.54107E+18,2024-02-02 00:00:00+00:00,,,,JVouSGTAempG2FmJlO2rUR,4445,ZQ Nov24,ZQ
2024-02-02 13:30:01.091000+00:00,CLX44550,SFRU24,SFR,95.73,19146,,,,16,16,,,,EXECUTION_REPORT,NEW,DAY,8.21368E+12,82767:127806970,1.70647E+12,5ff54ebc-2006-42ae-b200-c5fa46e0bf28,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_NEW,,,,,2024-02-02 13:30:01.079000+00:00,NEW,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,sfWLUozR8wR5kJ52fIcT,4490,SR3 Sep24,SR3
2024-02-02 13:30:01.091000+00:00,CLX44550,SFRU24,SFR,95.71,19142,,,16,16,,16,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6263314TN0007576,1.70647E+12,5ff54ebc-2006-42ae-b200-c5fa46e0bf28,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.079000+00:00,FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,2024-02-02 00:00:00+00:00,,,,KiTvgML0IFtLwcOjAAAqEx,4491,SR3 Sep24,SR3
2024-02-02 13:30:01.091000+00:00,CLX44550,SFRU24,SFR,95.73,19146,,,,16,,,,,ORDER_CANCEL_REJECT,,DAY,8.21368E+12,,1.70647E+12,5ff54ebc-2006-42ae-b200-c5fa46e0bf28,2f80f1ea-9811-46be-a85c-7e5828aa6312,Order not found.,ORD_STATUS_FILLED,,,,,2024-02-02 13:30:01.091000+00:00,FILLED,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,,4492,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,Rois 3 U24_snp,,-13.183,-26.366,,,1,5,4,1,,,EXECUTION_REPORT,TRADE,DAY,,,,2f80f1ea-9811-46be-a85c-7e5828aa6312,,,ORD_STATUS_PARTIALLY_FILLED,SYNTH_STATUS_WORKING,MULTI_LEG_SECURITY,,,2024-02-02 13:30:01.092000+00:00,PARTIALLY_FILLED,aurora.shared.cme_ase,LIMIT,,,OPEN,,Direct,,,,,SYNTHETIC,BUY,,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:29:29.342000+00:00,,,,,,,,,,4.49006E+18,,,,,,4493,,
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.73,19146,,,,9,9,,,,EXECUTION_REPORT,NEW,DAY,8.21368E+12,82767:127806979,1.70647E+12,b1a063f7-e5e3-4176-9a13-b598554a0c3e,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_NEW,,,,,2024-02-02 13:30:01.079000+00:00,NEW,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,HcZPVdqL1oA1jIQfUncFjv,4494,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.73,19146,,,,8,8,,,,EXECUTION_REPORT,NEW,DAY,8.21368E+12,82767:127806981,1.70647E+12,2db74b9c-c9b1-4e10-b8c3-6b6190264652,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_NEW,,,,,2024-02-02 13:30:01.079000+00:00,NEW,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,IjrZYua52vzBIetVlwBPu0,4495,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.71,19142,,,8,8,,8,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6263357TN0007580,1.70647E+12,2db74b9c-c9b1-4e10-b8c3-6b6190264652,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.079000+00:00,FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,2024-02-02 00:00:00+00:00,,,,IjvpZCnRUApLOVzT8Sx8r0,4496,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.71,19142,,,9,9,,9,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6263355TN0007579,1.70647E+12,b1a063f7-e5e3-4176-9a13-b598554a0c3e,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.079000+00:00,FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,2024-02-02 00:00:00+00:00,,,,XVvT8KcVKBJhI5afm1aJt,4497,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.725,19145,,,,2,2,,,,EXECUTION_REPORT,NEW,DAY,8.21368E+12,82767:127806986,1.70647E+12,ec56c366-b2c6-4b86-bbbc-be59050c3277,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_NEW,,,,,2024-02-02 13:30:01.079000+00:00,NEW,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,6YACtrEx11j1BB0sXPDcAH,4498,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.71,19142,,,2,2,,2,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6263359TN0007581,1.70647E+12,ec56c366-b2c6-4b86-bbbc-be59050c3277,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.079000+00:00,FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,2024-02-02 00:00:00+00:00,,,,F8FfAiuMRyeBJfLVQtFPgX,4499,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.72,19144,,,,15,15,,,,EXECUTION_REPORT,NEW,DAY,8.21368E+12,82767:127806987,1.70647E+12,bbb36af2-7115-4b59-b44b-5512dae59a6d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_NEW,,,,,2024-02-02 13:30:01.079000+00:00,NEW,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,EX6NOwucMGz7kpXVs5Krpn,4500,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.71,19142,,,5,15,10,5,,,EXECUTION_REPORT,TRADE,DAY,8.21368E+12,82767:M:6263361TN0007582,1.70647E+12,bbb36af2-7115-4b59-b44b-5512dae59a6d,2f80f1ea-9811-46be-a85c-7e5828aa6312,,ORD_STATUS_PARTIALLY_FILLED,,SINGLE_SECURITY,,,2024-02-02 13:30:01.079000+00:00,PARTIALLY_FILLED,1069270,LIMIT,,A,OPEN,CLX44550,Direct,,,,,CME,BUY,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:30:01.079000+00:00,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,2024-02-02 00:00:00+00:00,,,,IzjMct1T3z3GGlHZSnpLJ,4501,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.73,19146,,,,9,,,,,ORDER_CANCEL_REJECT,,DAY,8.21368E+12,,1.70647E+12,b1a063f7-e5e3-4176-9a13-b598554a0c3e,2f80f1ea-9811-46be-a85c-7e5828aa6312,Order not found.,ORD_STATUS_FILLED,,,,,2024-02-02 13:30:01.092000+00:00,FILLED,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,,4502,SR3 Sep24,SR3
2024-02-02 13:30:01.092000+00:00,CLX44550,SFRU24,SFR,95.73,19146,,,,8,,,,,ORDER_CANCEL_REJECT,,DAY,8.21368E+12,,1.70647E+12,2db74b9c-c9b1-4e10-b8c3-6b6190264652,2f80f1ea-9811-46be-a85c-7e5828aa6312,Order not found.,ORD_STATUS_FILLED,,,,,2024-02-02 13:30:01.092000+00:00,FILLED,1069270,LIMIT,,,OPEN,CLX44550,Direct,,,,,CME,,FUTURE,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,,,24-sep,,,,,,2024-09-17 00:00:00+00:00,SR3 Sep24,3.94874E+18,,,,,,4503,SR3 Sep24,SR3
2024-02-02 13:30:01.093000+00:00,CLX44550,Rois 3 U24_snp,,-13.183,-26.366,,,1,5,3,2,,,EXECUTION_REPORT,TRADE,DAY,,,,2f80f1ea-9811-46be-a85c-7e5828aa6312,,,ORD_STATUS_PARTIALLY_FILLED,SYNTH_STATUS_WORKING,MULTI_LEG_SECURITY,,,2024-02-02 13:30:01.093000+00:00,PARTIALLY_FILLED,aurora.shared.cme_ase,LIMIT,,,OPEN,,Direct,,,,,SYNTHETIC,BUY,,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:29:29.342000+00:00,,,,,,,,,,4.49006E+18,,,,,,4511,,
2024-02-02 13:30:01.093000+00:00,CLX44550,Rois 3 U24_snp,,-13.183,-26.366,,,1,5,2,3,,,EXECUTION_REPORT,TRADE,DAY,,,,2f80f1ea-9811-46be-a85c-7e5828aa6312,,,ORD_STATUS_PARTIALLY_FILLED,SYNTH_STATUS_WORKING,MULTI_LEG_SECURITY,,,2024-02-02 13:30:01.093000+00:00,PARTIALLY_FILLED,aurora.shared.cme_ase,LIMIT,,,OPEN,,Direct,,,,,SYNTHETIC,BUY,,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:29:29.342000+00:00,,,,,,,,,,4.49006E+18,,,,,,4515,,
2024-02-02 13:30:01.093000+00:00,CLX44550,Rois 3 U24_snp,,-13.183,-26.366,,,1,5,1,4,,,EXECUTION_REPORT,TRADE,DAY,,,,2f80f1ea-9811-46be-a85c-7e5828aa6312,,,ORD_STATUS_PARTIALLY_FILLED,SYNTH_STATUS_WORKING,MULTI_LEG_SECURITY,,,2024-02-02 13:30:01.093000+00:00,PARTIALLY_FILLED,aurora.shared.cme_ase,LIMIT,,,OPEN,,Direct,,,,,SYNTHETIC,BUY,,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:29:29.342000+00:00,,,,,,,,,,4.49006E+18,,,,,,4516,,
2024-02-02 13:30:01.096000+00:00,CLX44550,Rois 3 U24_snp,,-12.183,-24.366,,,1,5,,5,,,EXECUTION_REPORT,TRADE,DAY,,,,2f80f1ea-9811-46be-a85c-7e5828aa6312,,,ORD_STATUS_PARTIALLY_FILLED,SYNTH_STATUS_WORKING,MULTI_LEG_SECURITY,,,2024-02-02 13:30:01.096000+00:00,PARTIALLY_FILLED,aurora.shared.cme_ase,LIMIT,,,OPEN,,Direct,,,,,SYNTHETIC,BUY,,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:29:29.342000+00:00,,,,,,,,,,4.49006E+18,,,,,,4553,,
2024-02-02 13:30:01.096000+00:00,CLX44550,Rois 3 U24_snp,,-12.5,-25,,,0,5,,5,,,EXECUTION_REPORT,CANCELED,DAY,,,,2f80f1ea-9811-46be-a85c-7e5828aa6312,,order completed,ORD_STATUS_FILLED,SYNTH_STATUS_FINISHED,MULTI_LEG_SECURITY,,,2024-02-02 13:30:01.096000+00:00,FILLED,aurora.shared.cme_ase,LIMIT,,,OPEN,,Direct,,,,,SYNTHETIC,BUY,,Wedbush,,,,,,,,,,ALGO_Fading_1,1.70688E+18,,,,,,,,2024-02-02 13:29:29.342000+00:00,,,,,,,,,,4.49006E+18,,,,,,4556,,
